title,score,comments,page
Clay PCB Tutorial,74,39,1
Asahi Linux Progress Linux 7.0,410,172,1
Statecharts: hierarchical state machines,203,58,1
Why SWE-bench Verified no longer measures frontier coding capabilities,96,70,1
Amateur armed with ChatGPT solves an Erdős problem,614,435,1
Free Textbook on Engineering Thermodynamics,17,4,1
The Nintendo Switch Switch (2019),55,7,1
Databases Were Not Designed for This,37,26,1
Show HN: Turning a Gaussian Splat into a videogame,132,26,1
Why has there been so little progress on Alzheimer's disease?,340,229,1
"The West forgot how to make things, now it’s forgetting how to code",900,564,1
GitHub unwanted UX change: issue links now open in a popup,100,44,1
USB Cheat Sheet (2022),429,79,1
Tell HN: An app is silently installing itself on my iPhone every day,437,165,1
"Dear friend, you have built a Kubernetes (2024)",8,0,1
Cheating at Tetris,51,18,1
GnuPG – post-quantum crypto landing in mainline,136,39,1
QNX on the Commodore 900 – Raiders of the lost hard drive [video],16,0,1
Exposing Floating Point – Bartosz Ciechanowski (2019),62,9,1
Mahjong: A Visual Guide,167,48,1
Terra API (YC W21) Hiring: Applied AI Strategist(Health Intelligence),0,0,1
"Mine, a Coalton and Common Lisp IDE",68,3,1
Flickr: The first and last great photo platform,241,134,1
OpenAI Privacy Filter,264,55,1
Using coding assistance tools to revive projects you never were going to finish,320,205,1
The Free Universal Construction Kit,356,81,1
The route from Prussian military headquarters to Gary Gygax’s basement,63,10,1
The Super Nintendo Cartridges (2024),132,19,1
My .config Ship of Theseus,26,12,1
The Joy of Folding Bikes,234,161,1
America's Geothermal Breakthrough,145,156,2
EU Age Control: The trojan horse for digital IDs,299,157,2
Math Is Hard – OpenBSD Stories,140,19,2
Show HN: I remade my blog into a Windows 3.1 environment,13,10,2
Show HN: A free ESG stock screener that publishes its losses and methodology,16,17,2
Simulacrum of Knowledge Work,180,76,2
Hokusai and Tesselations,128,15,2
Eden AI – European Alternative to OpenRouter,109,57,2
What async promised and what it delivered,230,264,2
APL is more French than English,39,14,2
DeepSeek-V4 on Day 0: From Fast Inference to Verified RL with SGLang and Miles,71,6,2
Optimizing Datalog for the GPU,70,3,2
A populist wave is rising to end the 'captive' repair economy,27,3,2
"Mine, an IDE for Coalton and Common Lisp",114,52,2
"1-Bit Hokusai's ""The Great Wave"" (2023)",591,90,2
"Discret 11, the French TV encryption of the 80s (2020)",165,32,2
I spent 6 years building my Kanban as I hated how managers run the boards,67,80,2
"The George Business, by Roger Zelazny (1980)",40,1,2
The Long Reply,46,3,2
Rediscovering the Handcart,38,7,2
Reviving BrowserID in 2026,29,13,2
"New 10 GbE USB adapters are cooler, smaller, cheaper",592,357,2
GPT‑5.5 Bio Bug Bounty,151,101,2
Quirks of Human Anatomy,69,47,2
DeepSeek v4,2052,1574,2
Lute: A Standalone Runtime for Luau,89,11,2
A web-based RDP client built with Go WebAssembly and grdp,131,47,2
Martin Galway's music source files from 1980's Commodore 64 games,179,28,2
How Hard Is It to Open a File?,85,14,2
The Knight Programming Language,19,6,2
AGPLv3§74 Empowers Users to Thwart Badgeware Like OnlyOffice,89,21,3
Just How Much Should You Worry About Eating That Burnt Toast?,28,5,3
AI Might Be Lying to Your Boss,43,5,3
GPT-5.5,1563,1040,3
Microsoft Reportedly Looking at Rebasing Azure Linux on Fedora,20,4,3
Paraloid B-72,268,64,3
Insights into firewood use by early Middle Pleistocene hominins,54,24,3
Which one is more important: more parameters or more computation? (2021),59,13,3
The mail sent to a video game publisher,146,6,3
Only one side will be the true successor to MS-DOS – Windows 2.x,81,71,3
I have officially retired from Emacs,20,3,3
Colorado Adds Open-Source Exemption to Age-Verification Bill,123,49,3
Show HN: Browse GitHub repos in Emacs without cloning,19,7,3
Lambda Calculus Benchmark for AI,139,41,3
Open source memory layer so any AI agent can do what Claude.ai and ChatGPT do,175,74,3
"A 3D Body from Eight Questions – No Photo, No GPU",132,29,3
"Show HN: Kloak, A secret manager that keeps K8s workload away from secrets",54,48,3
Work with the garage door up (2024),192,127,3
Alberta startup sells no-tech tractors for half price,2293,775,3
Mise-En-Place,28,10,3
"Diatec, known for its mechanical keyboard brand FILCO, has ceased operations",142,50,3
Cosmology with Geometry Nodes,107,6,3
Can you stop beans from making you gassy?,151,125,3
Panipat: The rise of the Mughals,60,69,3
"Sabotaging projects by overthinking, scope creep, and structural diffing",523,135,3
How to Implement an FPS Counter,128,23,3
Commenting and approving pull requests,90,70,3
Plain text has been around for decades and it’s here to stay,301,152,3
US special forces soldier arrested after allegedly winning $400k on Maduro raid,686,741,3
Show HN: A Karpathy-style LLM wiki your agents maintain (Markdown and Git),242,111,3
Replace IBM Quantum back end with /dev/urandom,364,51,4
PCR is a surprisingly near-optimal technology,86,15,4
Protovac Retro Terminal (2025),12,0,4
HEALPix,53,8,4
Firefox Has Integrated Brave's Adblock Engine,398,237,4
MacBook Neo and how the iPad should be,313,195,4
I'm done making desktop applications (2009),202,200,4
North American Millets Alliance,18,4,4
"Show HN: DDoS detection in 0.9s, tested against a 48 Gbps attack live",13,1,4
Show HN: I've built a nice home server OS,178,74,4
What the FCC router ban means for FOSS,38,15,4
Google Flow Music,143,148,4
Bitwarden CLI compromised in ongoing Checkmarx supply chain campaign,864,420,4
My audio interface has SSH enabled by default,321,99,4
An update on recent Claude Code quality reports,934,727,4
Her life savings mysteriously disappeared after a systems glitch,66,58,4
Using the internet like it's 1999,253,187,4
US is making Europe pay dearly for its half-hearted electrification,22,5,4
You don't want long-lived keys,79,59,4
Hear your agent suffer through your code,213,92,4
Show HN: Browser Harness – Gives LLM freedom to complete any browser task,124,61,4
"I cancelled Claude: Token issues, declining quality, and poor support",954,570,4
Iliad fragment found in Roman-era mummy,245,87,4
Email could have been X.400 times better,230,200,4
Prediction Market Accuracy: Crowd Wisdom or Informed Minority?,18,1,4
Turbo Vision 2.0 – a modern port,195,57,4
Simple Sabotage of Agents,11,2,4
Apple fixes bug that cops used to extract deleted chat messages from iPhones,880,191,4
I am building a cloud,1106,560,4
UK Biobank health data keeps ending up on GitHub,195,56,4
TorchTPU: Running PyTorch Natively on TPUs at Google Scale,202,18,5
The Classic American Diner,262,156,5
Show HN: Honker – Postgres NOTIFY/LISTEN Semantics for SQLite,304,80,5
Stt.ai MCP Server,3,0,5
French tax official sold crypto investors' addresses: kidnappings followed,21,4,5
Bob Odenkirk Would Like to Remind You That Life Is a Meaningless Farce,5,2,5
SDL Now Supports DOS,286,121,5
Show HN: Gova – The declarative GUI framework for Go,137,28,5
Google plans to invest up to $40B in Anthropic,810,814,5
How to be anti-social – a guide to incoherent and isolating social experiences,376,346,5
Humpback whales are forming super-groups,200,118,5
Mounting tar archives as a filesystem in WebAssembly,126,39,5
Spinel: Ruby AOT Native Compiler,348,88,5
"MiniZinc, constraint modelling language solve discrete optimisation problems",60,0,5
Trump's Canada trade war hits Jack Daniel's/Jim Beam with devastating $143M loss,9,1,5
Different language models learn similar number representations,114,47,5
CC-Canary: Detect early signs of regressions in Claude Code,67,33,5
Physicists revive 1990s laser concept to propose a next-generation atomic clock,62,10,5
There Will Be a Scientific Theory of Deep Learning,351,157,5
Education must go beyond the mere production of words,143,85,5
"Writing a C Compiler, in Zig (2025)",175,65,5
$8800 house design helps prevent fatal diseases in African children,52,26,5
A programmable watch you can actually wear,228,130,5
The operating cost of adult and gambling startups,133,213,5
The Overtom Chess Computer Museum,40,10,5
Why Not Venus?,152,95,5
"Godot 4.7 Beta with HDR Output, Ray-Tracing Improvements and Editor Enhancements",25,6,5
New Type of Neuroplasticity Rewires the Brain After a Single Experience,3,0,5
Qwen3.6-27B: Flagship-Level Coding in a 27B Dense Model,985,444,5
CSS as a Query Language,80,27,5
